#	Numass data merge
#		GH18-02
#		GH18-06
#		GH18-05
#		GH18-04
#		GH18-03
#		GH18-08
#		GH18-07

# Uset    	Uread   	Length  	Total   	Window  	Corrected	CR      	CRerr   
18432.0 	18431.98333724143	140.0   	890891  	868703  	915302.9771185846	6537.87840798989	14.43617617219406
18482.0 	18481.966391232672	140.0   	888639  	866637  	913001.8147099202	6521.441533642287	14.408908448982912
18532.0 	18531.97286479156	140.0   	889071  	866875  	913277.2687661166	6523.409062615118	14.412240272837746
18582.0 	18582.007821608386	140.0   	886412  	864479  	910608.0624419885	6504.34330315706	14.380687020833548
18612.0 	18611.989298914137	140.0   	883077  	861345  	907123.1672457285	6479.451194612347	14.339305360193842
18642.0 	18641.984701368216	140.0   	875293  	854027  	898995.5164111617	6421.396545794012	14.242962775162278
18652.0 	18651.98548971096	140.0   	867039  	845854  	889949.9596417081	6356.7854260122	14.135510042560057
18657.0 	18656.942842514785	140.0   	861532  	840462  	883984.7040070882	6314.176457193487	14.064609775443884
18662.0 	18661.973618827957	140.0   	854792  	834105  	876943.9707426028	6263.885505304306	13.980832262446626
18665.0 	18664.947270956705	140.0   	848611  	828325  	870543.4596009658	6218.1675685783275	13.904519081734371
18667.0 	18666.93413643822	140.0   	844431  	824168  	865957.4185328234	6185.41013237731	13.84980632392375
18669.0 	18668.97860139689	140.0   	838132  	818226  	859391.2701806646	6138.509072719033	13.771546438481836
18670.0 	18669.922979637864	140.0   	831808  	812010  	852538.8005269817	6089.562860907012	13.689572190825906
18671.0 	18670.92242551085	140.0   	828304  	808926  	849123.0504908835	6065.164646363453	13.648714978723612
18672.0 	18671.95541833208	140.0   	825926  	806590  	846552.3376854162	6046.802412038687	13.618111356652449
18672.5 	18672.43710187188	140.0   	824181  	805065  	844862.9422577326	6034.735301840948	13.597820847752573
18673.0 	18672.9175194891	140.0   	820275  	801000  	840401.5863092311	6002.868473637365	13.544432005470698
18673.5 	18673.41566002238	140.0   	819966  	800680  	840049.5429950325	6000.353878535946	13.540172131978204
18674.0 	18673.935954200715	140.0   	816879  	798047  	837131.6371097014	5979.511693640724	13.505114625665701
18674.5 	18674.48599755957	140.0   	814178  	795450  	834270.8721158585	5959.077657970418	13.470639319764407
18675.0 	18674.97401071224	140.0   	810390  	791753  	830204.7901354317	5930.034215253084	13.421787094659454
18675.5 	18675.435439490837	140.0   	807784  	789428  	827640.1365440048	5911.715261028606	13.391128374886087
18676.0 	18675.936744830553	140.0   	807006  	788598  	826730.9598252521	5905.221141608942	13.380170427806412
18677.0 	18676.95961027118	140.0   	802146  	783774  	821435.0874560915	5867.3934818292255	13.316468887747435
18678.0 	18677.992603092403	140.0   	797481  	779463  	816692.080789045	5833.514862778892	13.259628773084533
18679.0 	18678.98445342994	140.0   	792984  	775230  	812035.6352723521	5800.254537659658	13.203258963804466
18680.0 	18679.978835612626	140.0   	786965  	769209  	805439.3159747705	5753.13797124836	13.123679645677125
18681.0 	18681.006764743554	140.0   	779491  	762210  	797753.2891539237	5698.237779670884	13.030735340744481
18682.0 	18682.006210616542	140.0   	771669  	754633  	789456.8155746048	5638.97725410432	12.930525868618316
18683.0 	18682.970843618714	140.0   	761925  	745390  	779332.242643989	5566.658876028493	12.807609268272785
18684.0 	18684.050042613926	140.0   	750177  	734057  	766944.2643665638	5478.173316904027	12.656904845736216
18684.5 	18684.53046023115	140.0   	743519  	727705  	760006.0121110717	5428.614372221941	12.572394433230263
18685.0 	18685.026068919273	140.0   	735424  	719880  	751468.803159804	5367.634308284314	12.468031933157272
18685.5 	18685.560288245943	140.0   	727864  	712630  	743565.727525428	5311.183768038772	12.371384796610934
18686.0 	18686.050833243764	140.0   	718103  	703146  	733242.8379251743	5237.448842322673	12.244835697572029
18686.5 	18686.57239334468	140.0   	706388  	692022  	721142.7396128639	5151.019568663313	12.096461577838944
18687.0 	18687.017365129803	140.0   	688337  	674564  	702195.5393790527	5015.68242413609	11.862799526033061
18687.5 	18687.526266004963	140.0   	665837  	652881  	678717.2048672973	4847.980034766411	11.571832155700841
18688.0 	18687.966174099787	140.0   	648725  	636368  	660880.5253850736	4720.575181321954	11.349669418189851
18689.0 	18688.9744814308	140.0   	641022  	629195  	653132.5890111694	4665.23277865121	11.252781111976372
18690.0 	18689.984687645672	140.0   	639486  	627255  	651060.4489520825	4650.431778229161	11.226918304299087
18692.0 	18692.004467114137	140.0   	639315  	627156  	650948.0882761426	4649.629201972447	11.225231638253321
18694.0 	18694.006523666547	140.0   	640506  	628476  	652364.4510406337	4659.746078861669	11.242971910698987
18696.0 	18696.022505367284	140.0   	639951  	627801  	651639.621299813	4654.568723570094	11.233649219935614
18697.0 	18696.968149530832	140.0   	639774  	627400  	651215.5994380311	4651.539995985937	11.228243653520437
18698.0 	18697.98341943601	140.0   	639280  	627210  	651001.6700142133	4650.011928672953	11.225794651627494
18698.5 	18698.453076711347	140.0   	639238  	627175  	650962.6409904303	4649.733149931645	11.22521031558199
18699.0 	18698.936026173724	140.0   	640755  	628772  	652680.5359492155	4662.0038282086825	11.246873589765483
18699.5 	18699.427837094117	140.0   	575153  	565101  	584432.1493743836	4174.515352674169	10.396122924606935
18700.0 	18699.90129213718	140.0   	222307  	219280  	222609.23344533722	1590.0659531809802	5.4878695718146036
18700.5 	18700.39120417372	140.0   	20862   	19440   	19474.71997985553	139.1051427132538	1.3616404027601612
18701.0 	18700.960236371197	140.0   	4734    	3413    	3413.9241407620993	24.385172434014994	0.6339745017174385
18702.0 	18701.923603450792	140.0   	4496    	3249    	3249.8365517720704	23.21311822694336	0.6224816619592894
18707.0 	18706.95184791882	140.0   	3942    	2757    	2757.623022252038	19.697307301800272	0.5863612706581849
18722.0 	18721.97834888444	140.0   	3771    	2602    	2602.564123810413	18.58974374150295	0.5743963241122394
18752.0 	18751.977549106243	140.0   	3669    	2507    	2507.527447305421	17.910910337895864	0.5669340071872504
