#	Numass data merge
#		DLOSS_01
#		DLOSS_02
#		DLOSS_03
#		DLOSS_04

#         Uset	       Uread	      Length	       Total	      Window	   Corrected	          CR	       CRerr
18700.000000	18700.000000	1600.0000000	3960007.0000	3924742.0000	4004024.9250	2502.5155781	1.2506287364
18800.000000	18800.000000	80.000000000	197534.00000	196048.00000	199999.77014	2499.9971268	7.8973843712
18900.000000	18900.000000	80.000000000	195548.00000	194189.00000	198063.19672	2475.7899590	7.8392613991
18910.000000	18910.000000	80.000000000	195335.00000	193322.00000	197176.70176	2464.7087720	7.8292214637
18920.000000	18920.000000	80.000000000	194206.00000	191990.00000	195793.74085	2447.4217607	7.7921698945
18930.000000	18930.000000	80.000000000	192539.00000	190416.00000	194155.47001	2426.9433752	7.7378406138
18940.000000	18940.000000	80.000000000	191362.00000	189083.00000	192775.33351	2409.6916689	7.6996464177
18950.000000	18950.000000	80.000000000	188816.00000	186590.00000	190183.24788	2377.2905985	7.6267246805
18960.000000	18960.000000	80.000000000	184581.00000	183431.00000	186883.45489	2336.0431861	7.5062588515
18965.000000	18965.000000	80.000000000	179755.00000	178959.00000	182236.63385	2277.9579231	7.3584404621
18970.000000	18970.000000	80.000000000	176435.00000	175679.00000	178837.11937	2235.4639922	7.2570082292
18975.000000	18975.000000	80.000000000	169460.00000	169029.00000	171944.97246	2149.3121557	7.0490221237
18980.000000	18980.000000	80.000000000	161257.00000	160093.00000	162718.88248	2033.9860310	6.7887425260
18982.000000	18982.000000	80.000000000	157539.00000	155933.00000	158432.27345	1980.4034181	6.6676433188
18984.000000	18984.000000	80.000000000	153835.00000	152522.00000	154906.87823	1936.3359779	6.5549433001
18986.000000	18986.000000	80.000000000	149910.00000	148527.00000	150789.42985	1884.8678731	6.4331970264
18988.000000	18988.000000	80.000000000	143638.00000	142570.00000	144649.62516	1808.1203145	6.2397572448
18989.000000	18989.000000	80.000000000	139514.00000	138393.00000	140353.45239	1754.4181549	6.1110625756
18989.500000	18989.500000	80.000000000	137383.00000	136354.00000	138255.91179	1728.1988974	6.0430346518
18990.000000	18990.000000	80.000000000	135776.00000	134814.00000	136673.13512	1708.4141890	5.9944175664
18990.500000	18990.500000	80.000000000	133531.00000	132564.00000	134359.70400	1679.4963001	5.9228640144
18991.000000	18991.000000	80.000000000	130768.00000	129868.00000	131590.85138	1644.8856422	5.8372627729
18991.500000	18991.500000	80.000000000	125346.00000	124609.00000	126193.02025	1577.4127532	5.6668353183
18992.000000	18992.000000	80.000000000	119871.00000	119143.00000	120590.42054	1507.3802567	5.4921501422
18992.500000	18992.500000	80.000000000	114841.00000	113933.00000	115259.79029	1440.7473786	5.3313370360
18993.000000	18993.000000	80.000000000	112576.00000	111627.00000	112900.60725	1411.2575906	5.2568231553
18993.500000	18993.500000	80.000000000	111735.00000	110631.00000	111882.72968	1398.5341210	5.2275241720
18994.000000	18994.000000	80.000000000	110986.00000	109898.00000	111132.79120	1389.1598900	5.2049414060
18994.500000	18994.500000	80.000000000	110566.00000	109499.00000	110726.57761	1384.0822201	5.1920878575
18995.000000	18995.000000	80.000000000	110826.00000	110066.00000	111301.86605	1391.2733256	5.2019752106
18996.000000	18996.000000	80.000000000	110335.00000	109338.00000	110561.43576	1382.0179471	5.1809026716
18997.000000	18997.000000	80.000000000	109936.00000	108941.00000	110153.59399	1376.9199248	5.1681224221
18998.000000	18998.000000	80.000000000	109306.00000	108110.00000	109307.75547	1366.3469433	5.1479300635
18999.000000	18999.000000	80.000000000	108719.00000	107757.00000	108943.29262	1361.7911578	5.1326139598
19000.000000	19000.000000	80.000000000	108278.00000	107445.00000	108622.95882	1357.7869853	5.1164298301
19001.000000	19001.000000	80.000000000	107988.00000	107315.00000	108488.26328	1356.1032910	5.1107698328
19002.000000	19002.000000	80.000000000	106899.00000	106103.00000	107251.95203	1340.6494004	5.0761306507
19003.000000	19003.000000	80.000000000	105608.00000	104849.00000	105970.83829	1324.6354786	5.0352467359
19003.500000	19003.500000	80.000000000	103643.00000	102983.00000	104064.60432	1300.8075540	4.9703064633
19004.000000	19004.000000	80.000000000	86719.000000	86274.000000	87030.922965	1087.8865371	4.4125889578
19004.500000	19004.500000	80.000000000	58101.000000	57579.000000	57917.526780	723.96908475	3.4167831855
19005.000000	19005.000000	80.000000000	15939.000000	15620.000000	15647.453383	195.59316729	1.6231639930
19005.500000	19005.500000	80.000000000	2178.0000000	1830.0000000	1832.4188782	22.905235978	0.53753126403
19006.000000	19006.000000	80.000000000	836.00000000	531.00000000	533.04189352	6.6630236690	0.28898981595
19007.000000	19007.000000	80.000000000	913.00000000	585.00000000	588.35996051	7.3544995064	0.30408641936
19010.000000	19010.000000	80.000000000	751.00000000	444.00000000	446.33087142	5.5791358927	0.26400704349
