     eps	      p1	      p2	      p3	
0.000000	0.000000	0.000000	0.000000	
0.300000	0.000000	0.000000	0.000000	
0.600000	0.000000	0.000000	0.000000	
0.900000	0.000000	0.000000	0.000000	
1.200000	0.000000	0.000000	0.000000	
1.500000	0.000000	0.000000	0.000000	
1.800000	0.000000	0.000000	0.000000	
2.100000	0.000000	0.000000	0.000000	
2.400000	0.000000	0.000000	0.000000	
2.700000	0.000000	0.000000	0.000000	
3.000000	0.000000	0.000000	0.000000	
3.300000	0.000000	0.000000	0.000000	
3.600000	0.000000	0.000000	0.000000	
3.900000	0.000000	0.000000	0.000000	
4.200000	0.000000	0.000000	0.000000	
4.500000	0.000000	0.000000	0.000000	
4.800000	0.000000	0.000000	0.000000	
5.100000	0.000000	0.000000	-0.000000	
5.400000	0.000000	0.000000	-0.000000	
5.700000	0.000000	-0.000000	-0.000000	
6.000000	0.000000	-0.000000	0.000000	
6.300000	0.000000	-0.000000	0.000000	
6.600000	0.000000	0.000000	0.000000	
6.900000	0.000000	0.000000	0.000000	
7.200000	0.000000	0.000000	-0.000000	
7.500000	0.000000	-0.000000	-0.000000	
7.800000	0.000000	-0.000000	-0.000000	
8.100000	0.000000	-0.000000	0.000000	
8.400000	0.000000	0.000000	0.000000	
8.700000	0.000000	0.000000	0.000000	
9.000000	0.000000	0.000000	0.000000	
9.300000	0.000000	-0.000000	-0.000000	
9.600000	0.000000	-0.000000	-0.000000	
9.900000	0.000003	-0.000000	-0.000000	
10.200000	0.000022	0.000000	-0.000000	
10.500000	0.000142	0.000000	0.000000	
10.800000	0.000711	0.000000	0.000000	
11.100000	0.002781	-0.000000	0.000000	
11.400000	0.008475	-0.000000	0.000000	
11.700000	0.020111	-0.000000	-0.000000	
12.000000	0.037168	0.000000	-0.000000	
12.300000	0.053496	0.000000	-0.000000	
12.600000	0.059965	0.000000	-0.000000	
12.900000	0.052349	-0.000000	0.000000	
13.200000	0.035591	-0.000000	0.000000	
13.500000	0.020774	-0.000000	0.000000	
13.800000	0.019932	0.000000	0.000000	
14.100000	0.019068	0.000000	-0.000000	
14.400000	0.018196	0.000000	-0.000000	
14.700000	0.017327	-0.000000	-0.000000	
15.000000	0.016473	-0.000000	-0.000000	
15.300000	0.015639	-0.000000	0.000000	
15.600000	0.014833	0.000000	0.000000	
15.900000	0.014058	0.000000	0.000000	
16.200000	0.013318	0.000000	-0.000000	
16.500000	0.012613	-0.000000	-0.000000	
16.800000	0.011945	-0.000000	-0.000000	
17.100000	0.011313	-0.000000	-0.000000	
17.400000	0.010717	0.000000	0.000000	
17.700000	0.010156	0.000000	0.000000	
18.000000	0.009628	0.000000	0.000000	
18.300000	0.009132	0.000000	0.000000	
18.600000	0.008667	0.000000	-0.000000	
18.900000	0.008231	0.000000	-0.000000	
19.200000	0.007822	0.000000	-0.000000	
19.500000	0.007438	0.000000	-0.000000	
19.800000	0.007078	0.000001	0.000000	
20.100000	0.006740	0.000001	0.000000	
20.400000	0.006423	0.000003	0.000000	
20.700000	0.006126	0.000008	0.000000	
21.000000	0.005847	0.000016	-0.000000	
21.300000	0.005584	0.000032	-0.000000	
21.600000	0.005337	0.000064	-0.000000	
21.900000	0.005105	0.000116	-0.000000	
22.200000	0.004887	0.000201	0.000000	
22.500000	0.004681	0.000332	0.000000	
22.800000	0.004487	0.000524	0.000000	
23.100000	0.004304	0.000779	0.000000	
23.400000	0.004131	0.001092	-0.000000	
23.700000	0.003968	0.001457	-0.000000	
24.000000	0.003813	0.001846	-0.000000	
24.300000	0.003667	0.002217	-0.000000	
24.600000	0.003529	0.002528	0.000000	
24.900000	0.003398	0.002749	0.000000	
25.200000	0.003274	0.002860	0.000000	
25.500000	0.003156	0.002843	-0.000000	
25.800000	0.003044	0.002714	-0.000000	
26.100000	0.002938	0.002513	-0.000000	
26.400000	0.002837	0.002282	-0.000000	
26.700000	0.002741	0.002063	0.000000	
27.000000	0.002649	0.001896	0.000000	
27.300000	0.002562	0.001820	0.000000	
27.600000	0.002479	0.001829	0.000000	
27.900000	0.002400	0.001875	-0.000000	
28.200000	0.002324	0.001910	-0.000000	
28.500000	0.002252	0.001918	0.000000	
28.800000	0.002183	0.001910	0.000000	
29.100000	0.002117	0.001897	0.000000	
29.400000	0.002054	0.001883	0.000000	
29.700000	0.001993	0.001861	0.000000	
30.000000	0.001935	0.001823	0.000000	
31.000000	0.001759	0.001685	0.000000	
32.000000	0.001606	0.001620	0.000000	
33.000000	0.001471	0.001474	0.000001	
34.000000	0.001352	0.001367	0.000007	
35.000000	0.001247	0.001236	0.000027	
36.000000	0.001153	0.001140	0.000066	
37.000000	0.001070	0.001041	0.000112	
38.000000	0.000995	0.000950	0.000137	
39.000000	0.000927	0.000870	0.000137	
40.000000	0.000866	0.000790	0.000139	
41.000000	0.000811	0.000727	0.000146	
42.000000	0.000761	0.000662	0.000151	
43.000000	0.000716	0.000608	0.000153	
44.000000	0.000674	0.000558	0.000153	
45.000000	0.000636	0.000513	0.000151	
46.000000	0.000601	0.000470	0.000147	
47.000000	0.000568	0.000438	0.000142	
48.000000	0.000539	0.000396	0.000137	
49.000000	0.000511	0.000378	0.000131	
50.000000	0.000486	0.000342	0.000125	
51.000000	0.000462	0.000327	0.000118	
52.000000	0.000440	0.000298	0.000112	
53.000000	0.000420	0.000285	0.000106	
54.000000	0.000401	0.000256	0.000100	
55.000000	0.000383	0.000250	0.000094	
56.000000	0.000366	0.000226	0.000088	
57.000000	0.000351	0.000221	0.000083	
58.000000	0.000336	0.000203	0.000078	
59.000000	0.000322	0.000189	0.000073	
60.000000	0.000310	0.000185	0.000069	
61.000000	0.000297	0.000168	0.000065	
62.000000	0.000286	0.000167	0.000061	
63.000000	0.000275	0.000149	0.000057	
64.000000	0.000265	0.000149	0.000054	
65.000000	0.000255	0.000139	0.000051	
66.000000	0.000246	0.000130	0.000048	
67.000000	0.000238	0.000130	0.000045	
68.000000	0.000229	0.000116	0.000043	
69.000000	0.000222	0.000117	0.000040	
70.000000	0.000214	0.000108	0.000038	
71.000000	0.000207	0.000103	0.000036	
72.000000	0.000200	0.000103	0.000034	
73.000000	0.000194	0.000091	0.000033	
74.000000	0.000188	0.000094	0.000031	
75.000000	0.000182	0.000087	0.000030	
76.000000	0.000177	0.000082	0.000028	
77.000000	0.000171	0.000084	0.000027	
78.000000	0.000166	0.000075	0.000025	
79.000000	0.000162	0.000076	0.000024	
80.000000	0.000157	0.000073	0.000023	
81.000000	0.000152	0.000067	0.000022	
82.000000	0.000148	0.000070	0.000021	
83.000000	0.000144	0.000063	0.000020	
84.000000	0.000140	0.000062	0.000019	
85.000000	0.000136	0.000063	0.000019	
86.000000	0.000133	0.000055	0.000018	
87.000000	0.000129	0.000058	0.000017	
88.000000	0.000126	0.000055	0.000016	
89.000000	0.000123	0.000050	0.000016	
90.000000	0.000120	0.000053	0.000015	
91.000000	0.000117	0.000048	0.000015	
92.000000	0.000114	0.000047	0.000014	
93.000000	0.000111	0.000048	0.000014	
94.000000	0.000109	0.000042	0.000013	
95.000000	0.000106	0.000045	0.000013	
96.000000	0.000104	0.000043	0.000012	
97.000000	0.000101	0.000039	0.000012	
98.000000	0.000099	0.000042	0.000011	
99.000000	0.000097	0.000038	0.000011
