     eps	      p1	      p2	      p3	
0.000000	0.000000	0.000000	0.000000	
0.300000	0.000000	0.000000	0.000000	
0.600000	0.000000	0.000000	0.000000	
0.900000	0.000000	0.000000	0.000000	
1.200000	0.000000	0.000000	0.000000	
1.500000	0.000000	0.000000	0.000000	
1.800000	0.000000	0.000000	0.000000	
2.100000	0.000000	0.000000	0.000000	
2.400000	0.000000	0.000000	0.000000	
2.700000	0.000000	0.000000	0.000000	
3.000000	0.000000	0.000000	0.000000	
3.300000	0.000000	0.000000	0.000000	
3.600000	0.000000	0.000000	0.000000	
3.900000	0.000000	0.000000	0.000000	
4.200000	0.000000	0.000000	0.000000	
4.500000	0.000000	0.000000	0.000000	
4.800000	0.000000	0.000000	0.000000	
5.100000	0.000000	0.000000	-0.000000	
5.400000	0.000000	0.000000	-0.000000	
5.700000	0.000000	-0.000000	-0.000000	
6.000000	0.000000	-0.000000	0.000000	
6.300000	0.000000	-0.000000	0.000000	
6.600000	0.000000	0.000000	0.000000	
6.900000	0.000000	0.000000	0.000000	
7.200000	0.000000	0.000000	-0.000000	
7.500000	0.000000	-0.000000	-0.000000	
7.800000	0.000000	-0.000000	-0.000000	
8.100000	0.000000	-0.000000	0.000000	
8.400000	0.000000	0.000000	0.000000	
8.700000	0.000000	0.000000	0.000000	
9.000000	0.000000	0.000000	0.000000	
9.300000	0.000000	-0.000000	-0.000000	
9.600000	0.000000	-0.000000	-0.000000	
9.900000	0.000002	-0.000000	-0.000000	
10.200000	0.000015	0.000000	-0.000000	
10.500000	0.000099	0.000000	0.000000	
10.800000	0.000526	0.000000	0.000000	
11.100000	0.002202	-0.000000	0.000000	
11.400000	0.007271	-0.000000	0.000000	
11.700000	0.018924	-0.000000	-0.000000	
12.000000	0.038825	0.000000	-0.000000	
12.300000	0.062785	0.000000	-0.000000	
12.600000	0.080033	0.000000	-0.000000	
12.900000	0.080414	-0.000000	0.000000	
13.200000	0.063688	-0.000000	0.000000	
13.500000	0.039760	-0.000000	0.000000	
13.800000	0.019565	0.000000	0.000000	
14.100000	0.017142	0.000000	-0.000000	
14.400000	0.017211	0.000000	-0.000000	
14.700000	0.017208	-0.000000	-0.000000	
15.000000	0.017135	-0.000000	-0.000000	
15.300000	0.016992	-0.000000	0.000000	
15.600000	0.016783	0.000000	0.000000	
15.900000	0.016513	0.000000	0.000000	
16.200000	0.016188	0.000000	-0.000000	
16.500000	0.015815	-0.000000	-0.000000	
16.800000	0.015402	-0.000000	-0.000000	
17.100000	0.014955	-0.000000	-0.000000	
17.400000	0.014483	0.000000	0.000000	
17.700000	0.013992	0.000000	0.000000	
18.000000	0.013489	0.000000	0.000000	
18.300000	0.012980	0.000000	0.000000	
18.600000	0.012471	0.000000	-0.000000	
18.900000	0.011965	0.000000	-0.000000	
19.200000	0.011467	0.000000	-0.000000	
19.500000	0.010980	0.000000	-0.000000	
19.800000	0.010505	0.000001	0.000000	
20.100000	0.010046	0.000003	0.000000	
20.400000	0.009603	0.000007	0.000000	
20.700000	0.009176	0.000015	0.000000	
21.000000	0.008768	0.000032	-0.000000	
21.300000	0.008377	0.000065	-0.000000	
21.600000	0.008004	0.000128	-0.000000	
21.900000	0.007649	0.000233	-0.000000	
22.200000	0.007311	0.000404	0.000000	
22.500000	0.006990	0.000668	0.000000	
22.800000	0.006685	0.001053	0.000000	
23.100000	0.006395	0.001565	0.000000	
23.400000	0.006121	0.002194	-0.000000	
23.700000	0.005861	0.002927	-0.000000	
24.000000	0.005614	0.003709	-0.000000	
24.300000	0.005381	0.004455	-0.000000	
24.600000	0.005159	0.005080	0.000000	
24.900000	0.004949	0.005523	0.000000	
25.200000	0.004750	0.005746	0.000000	
25.500000	0.004562	0.005713	-0.000000	
25.800000	0.004383	0.005454	-0.000000	
26.100000	0.004214	0.005050	-0.000000	
26.400000	0.004053	0.004586	-0.000000	
26.700000	0.003900	0.004145	0.000000	
27.000000	0.003755	0.003810	0.000000	
27.300000	0.003617	0.003658	0.000000	
27.600000	0.003486	0.003676	0.000000	
27.900000	0.003361	0.003768	-0.000000	
28.200000	0.003243	0.003838	-0.000000	
28.500000	0.003130	0.003854	0.000000	
28.800000	0.003023	0.003837	0.000000	
29.100000	0.002920	0.003812	0.000000	
29.400000	0.002823	0.003785	0.000000	
29.700000	0.002730	0.003739	0.000000	
30.000000	0.002641	0.003663	0.000000	
31.000000	0.002372	0.003386	0.000000	
32.000000	0.002141	0.003255	0.000001	
33.000000	0.001941	0.002963	0.000004	
34.000000	0.001767	0.002746	0.000023	
35.000000	0.001614	0.002484	0.000084	
36.000000	0.001480	0.002291	0.000206	
37.000000	0.001361	0.002091	0.000350	
38.000000	0.001256	0.001908	0.000428	
39.000000	0.001162	0.001749	0.000431	
40.000000	0.001078	0.001588	0.000436	
41.000000	0.001003	0.001460	0.000458	
42.000000	0.000935	0.001330	0.000474	
43.000000	0.000874	0.001222	0.000480	
44.000000	0.000818	0.001121	0.000479	
45.000000	0.000768	0.001031	0.000473	
46.000000	0.000722	0.000945	0.000461	
47.000000	0.000680	0.000881	0.000444	
48.000000	0.000641	0.000795	0.000428	
49.000000	0.000606	0.000760	0.000411	
50.000000	0.000573	0.000688	0.000390	
51.000000	0.000543	0.000657	0.000370	
52.000000	0.000515	0.000599	0.000351	
53.000000	0.000490	0.000572	0.000331	
54.000000	0.000466	0.000514	0.000312	
55.000000	0.000444	0.000503	0.000294	
56.000000	0.000423	0.000454	0.000276	
57.000000	0.000404	0.000443	0.000260	
58.000000	0.000386	0.000409	0.000245	
59.000000	0.000369	0.000380	0.000229	
60.000000	0.000353	0.000371	0.000216	
61.000000	0.000339	0.000338	0.000203	
62.000000	0.000325	0.000335	0.000191	
63.000000	0.000312	0.000300	0.000180	
64.000000	0.000299	0.000299	0.000169	
65.000000	0.000288	0.000278	0.000160	
66.000000	0.000277	0.000260	0.000150	
67.000000	0.000267	0.000261	0.000142	
68.000000	0.000257	0.000232	0.000134	
69.000000	0.000248	0.000235	0.000127	
70.000000	0.000239	0.000217	0.000120	
71.000000	0.000231	0.000206	0.000114	
72.000000	0.000223	0.000207	0.000107	
73.000000	0.000215	0.000183	0.000102	
74.000000	0.000208	0.000189	0.000097	
75.000000	0.000202	0.000176	0.000093	
76.000000	0.000195	0.000164	0.000088	
77.000000	0.000189	0.000170	0.000083	
78.000000	0.000183	0.000151	0.000080	
79.000000	0.000178	0.000152	0.000076	
80.000000	0.000172	0.000147	0.000072	
81.000000	0.000167	0.000135	0.000070	
82.000000	0.000162	0.000140	0.000066	
83.000000	0.000158	0.000126	0.000063	
84.000000	0.000153	0.000124	0.000061	
85.000000	0.000149	0.000126	0.000058	
86.000000	0.000145	0.000111	0.000056	
87.000000	0.000141	0.000116	0.000054	
88.000000	0.000137	0.000110	0.000051	
89.000000	0.000133	0.000101	0.000049	
90.000000	0.000130	0.000107	0.000048	
91.000000	0.000127	0.000096	0.000046	
92.000000	0.000123	0.000095	0.000044	
93.000000	0.000120	0.000097	0.000042	
94.000000	0.000117	0.000085	0.000041	
95.000000	0.000114	0.000089	0.000039	
96.000000	0.000112	0.000087	0.000038	
97.000000	0.000109	0.000078	0.000037	
98.000000	0.000106	0.000084	0.000035	
99.000000	0.000104	0.000077	0.000034	
