     eps	      p1	      p2	      p3	
0.000000	0.000000	0.000000	0.000000	
0.300000	0.000000	0.000000	0.000000	
0.600000	0.000000	0.000000	0.000000	
0.900000	0.000000	0.000000	0.000000	
1.200000	0.000000	0.000000	0.000000	
1.500000	0.000000	0.000000	0.000000	
1.800000	0.000000	0.000000	0.000000	
2.100000	0.000000	0.000000	0.000000	
2.400000	0.000000	0.000000	0.000000	
2.700000	0.000000	0.000000	0.000000	
3.000000	0.000000	0.000000	0.000000	
3.300000	0.000000	0.000000	0.000000	
3.600000	0.000000	0.000000	0.000000	
3.900000	0.000000	0.000000	0.000000	
4.200000	0.000000	0.000000	0.000000	
4.500000	0.000000	0.000000	0.000000	
4.800000	0.000000	0.000000	0.000000	
5.100000	0.000000	0.000000	-0.000000	
5.400000	0.000000	0.000000	-0.000000	
5.700000	0.000000	-0.000000	-0.000000	
6.000000	0.000000	-0.000000	0.000000	
6.300000	0.000000	-0.000000	0.000000	
6.600000	0.000000	0.000000	0.000000	
6.900000	0.000000	0.000000	0.000000	
7.200000	0.000000	0.000000	-0.000000	
7.500000	0.000000	-0.000000	-0.000000	
7.800000	0.000000	-0.000000	-0.000000	
8.100000	0.000000	-0.000000	0.000000	
8.400000	0.000000	0.000000	0.000000	
8.700000	0.000000	0.000000	0.000000	
9.000000	0.000002	0.000000	0.000000	
9.300000	0.000009	-0.000000	-0.000000	
9.600000	0.000038	-0.000000	-0.000000	
9.900000	0.000136	-0.000000	-0.000000	
10.200000	0.000432	0.000000	-0.000000	
10.500000	0.001210	0.000000	0.000000	
10.800000	0.002996	0.000000	0.000000	
11.100000	0.006561	-0.000000	0.000000	
11.400000	0.012704	-0.000000	0.000000	
11.700000	0.021747	-0.000000	-0.000000	
12.000000	0.032917	0.000000	-0.000000	
12.300000	0.044051	0.000000	-0.000000	
12.600000	0.052123	0.000000	-0.000000	
12.900000	0.054530	-0.000000	0.000000	
13.200000	0.050440	-0.000000	0.000000	
13.500000	0.041252	-0.000000	0.000000	
13.800000	0.029829	0.000000	0.000000	
14.100000	0.019071	0.000000	-0.000000	
14.400000	0.010780	0.000000	-0.000000	
14.700000	0.010803	-0.000000	-0.000000	
15.000000	0.011096	-0.000000	-0.000000	
15.300000	0.011352	-0.000000	0.000000	
15.600000	0.011564	0.000000	0.000000	
15.900000	0.011727	0.000000	0.000000	
16.200000	0.011836	0.000000	-0.000000	
16.500000	0.011888	-0.000000	-0.000000	
16.800000	0.011883	-0.000000	-0.000000	
17.100000	0.011819	-0.000000	-0.000000	
17.400000	0.011698	0.000000	0.000000	
17.700000	0.011525	0.000000	0.000000	
18.000000	0.011304	0.000000	0.000000	
18.300000	0.011040	0.000000	0.000000	
18.600000	0.010741	0.000000	-0.000000	
18.900000	0.010412	0.000000	-0.000000	
19.200000	0.010061	0.000000	-0.000000	
19.500000	0.009693	0.000000	-0.000000	
19.800000	0.009315	0.000001	0.000000	
20.100000	0.008933	0.000001	0.000000	
20.400000	0.008550	0.000004	0.000000	
20.700000	0.008171	0.000008	0.000000	
21.000000	0.007799	0.000017	-0.000000	
21.300000	0.007436	0.000036	-0.000000	
21.600000	0.007085	0.000070	-0.000000	
21.900000	0.006746	0.000127	-0.000000	
22.200000	0.006422	0.000221	0.000000	
22.500000	0.006111	0.000365	0.000000	
22.800000	0.005815	0.000576	0.000000	
23.100000	0.005534	0.000856	0.000000	
23.400000	0.005267	0.001200	-0.000000	
23.700000	0.005015	0.001601	-0.000000	
24.000000	0.004775	0.002028	-0.000000	
24.300000	0.004550	0.002436	-0.000000	
24.600000	0.004336	0.002778	0.000000	
24.900000	0.004135	0.003021	0.000000	
25.200000	0.003945	0.003142	0.000000	
25.500000	0.003766	0.003124	-0.000000	
25.800000	0.003597	0.002982	-0.000000	
26.100000	0.003438	0.002762	-0.000000	
26.400000	0.003288	0.002508	-0.000000	
26.700000	0.003146	0.002267	0.000000	
27.000000	0.003012	0.002083	0.000000	
27.300000	0.002886	0.002001	0.000000	
27.600000	0.002766	0.002010	0.000000	
27.900000	0.002654	0.002061	-0.000000	
28.200000	0.002547	0.002099	-0.000000	
28.500000	0.002446	0.002107	0.000000	
28.800000	0.002351	0.002098	0.000000	
29.100000	0.002260	0.002085	0.000000	
29.400000	0.002174	0.002070	0.000000	
29.700000	0.002093	0.002045	0.000000	
30.000000	0.002016	0.002003	0.000000	
31.000000	0.001786	0.001852	0.000000	
32.000000	0.001591	0.001780	0.000000	
33.000000	0.001426	0.001620	0.000002	
34.000000	0.001283	0.001502	0.000008	
35.000000	0.001161	0.001359	0.000031	
36.000000	0.001055	0.001253	0.000077	
37.000000	0.000962	0.001144	0.000130	
38.000000	0.000880	0.001044	0.000159	
39.000000	0.000809	0.000956	0.000160	
40.000000	0.000745	0.000868	0.000162	
41.000000	0.000689	0.000799	0.000170	
42.000000	0.000638	0.000728	0.000176	
43.000000	0.000593	0.000668	0.000178	
44.000000	0.000553	0.000613	0.000178	
45.000000	0.000516	0.000564	0.000176	
46.000000	0.000483	0.000517	0.000171	
47.000000	0.000453	0.000482	0.000165	
48.000000	0.000426	0.000435	0.000159	
49.000000	0.000401	0.000415	0.000152	
50.000000	0.000378	0.000376	0.000145	
51.000000	0.000357	0.000359	0.000137	
52.000000	0.000337	0.000327	0.000130	
53.000000	0.000320	0.000313	0.000123	
54.000000	0.000303	0.000281	0.000116	
55.000000	0.000288	0.000275	0.000109	
56.000000	0.000274	0.000249	0.000103	
57.000000	0.000261	0.000242	0.000097	
58.000000	0.000249	0.000224	0.000091	
59.000000	0.000237	0.000208	0.000085	
60.000000	0.000227	0.000203	0.000080	
61.000000	0.000217	0.000185	0.000075	
62.000000	0.000207	0.000183	0.000071	
63.000000	0.000199	0.000164	0.000067	
64.000000	0.000190	0.000163	0.000063	
65.000000	0.000183	0.000152	0.000059	
66.000000	0.000176	0.000142	0.000056	
67.000000	0.000169	0.000142	0.000053	
68.000000	0.000162	0.000127	0.000050	
69.000000	0.000156	0.000129	0.000047	
70.000000	0.000151	0.000119	0.000045	
71.000000	0.000145	0.000113	0.000042	
72.000000	0.000140	0.000113	0.000040	
73.000000	0.000135	0.000100	0.000038	
74.000000	0.000131	0.000103	0.000036	
75.000000	0.000126	0.000096	0.000034	
76.000000	0.000122	0.000090	0.000033	
77.000000	0.000118	0.000093	0.000031	
78.000000	0.000114	0.000082	0.000030	
79.000000	0.000111	0.000083	0.000028	
80.000000	0.000107	0.000080	0.000027	
81.000000	0.000104	0.000074	0.000026	
82.000000	0.000101	0.000077	0.000025	
83.000000	0.000098	0.000069	0.000023	
84.000000	0.000095	0.000068	0.000023	
85.000000	0.000092	0.000069	0.000022	
86.000000	0.000090	0.000061	0.000021	
87.000000	0.000087	0.000063	0.000020	
88.000000	0.000085	0.000060	0.000019	
89.000000	0.000082	0.000055	0.000018	
90.000000	0.000080	0.000058	0.000018	
91.000000	0.000078	0.000053	0.000017	
92.000000	0.000076	0.000052	0.000016	
93.000000	0.000074	0.000053	0.000016	
94.000000	0.000072	0.000047	0.000015	
95.000000	0.000070	0.000049	0.000015	
96.000000	0.000069	0.000048	0.000014	
97.000000	0.000067	0.000043	0.000014	
98.000000	0.000065	0.000046	0.000013	
99.000000	0.000064	0.000042	0.000013
