#	Numass data merge
#		HLOSS_05
#		HLOSS_06
#		HLOSS_07
#		HLOSS_08

#         Uset	       Uread	      Length	       Total	      Window	   Corrected	          CR	       CRerr
18700.000000	18700.000000	1600.0000000	3870319.0000	3836319.0000	3912024.7320	2445.0154575	1.2361774391
18800.000000	18800.000000	80.000000000	193131.00000	190770.00000	194530.18309	2431.6272886	7.7947801773
18900.000000	18900.000000	80.000000000	191848.00000	189871.00000	193587.42035	2419.8427543	7.7589358818
18910.000000	18910.000000	80.000000000	192010.00000	190153.00000	193878.14480	2423.4768100	7.7695548106
18920.000000	18920.000000	80.000000000	191632.00000	190697.00000	194425.25597	2430.3156996	7.7680264476
18930.000000	18930.000000	80.000000000	190211.00000	188964.00000	192629.90297	2407.8737871	7.7226838514
18940.000000	18940.000000	80.000000000	189330.00000	187621.00000	191243.30959	2390.5413698	7.6900244931
18950.000000	18950.000000	80.000000000	187841.00000	186319.00000	189887.92981	2373.5991227	7.6501730326
18960.000000	18960.000000	80.000000000	184304.00000	182761.00000	186194.18775	2327.4273469	7.5389784616
18965.000000	18965.000000	80.000000000	182064.00000	180664.00000	184016.10669	2300.2013337	7.4693757123
18970.000000	18970.000000	80.000000000	179700.00000	179031.00000	182310.16817	2278.8771022	7.4059364837
18975.000000	18975.000000	80.000000000	175850.00000	174723.00000	177853.61490	2223.1701863	7.2787988141
18980.000000	18980.000000	80.000000000	168894.00000	167972.00000	170860.17112	2135.7521390	7.0633770029
18982.000000	18982.000000	80.000000000	166551.00000	165289.00000	168090.77421	2101.1346777	6.9880672341
18984.000000	18984.000000	80.000000000	163409.00000	162050.00000	164744.00013	2059.3000016	6.8884703109
18986.000000	18986.000000	80.000000000	159207.00000	158016.00000	160573.97803	2007.1747254	6.7603430889
18988.000000	18988.000000	80.000000000	155230.00000	154330.00000	156764.82175	1959.5602719	6.6367352330
18989.000000	18989.000000	80.000000000	151502.00000	150663.00000	152983.16082	1912.2895102	6.5190617962
18989.500000	18989.500000	80.000000000	150212.00000	149704.00000	151989.21741	1899.8652177	6.4848364240
18990.000000	18990.000000	80.000000000	148225.00000	147389.00000	149608.75043	1870.1093804	6.4256119694
18990.500000	18990.500000	80.000000000	145662.00000	144896.00000	147039.54461	1837.9943076	6.3464554592
18991.000000	18991.000000	80.000000000	144811.00000	144015.00000	146132.94224	1826.6617779	6.3183757509
18991.500000	18991.500000	80.000000000	140045.00000	138943.00000	140918.50739	1761.4813423	6.1610252727
18992.000000	18992.000000	80.000000000	136417.00000	135745.00000	137626.04003	1720.3255003	6.0424027771
18992.500000	18992.500000	80.000000000	132191.00000	131372.00000	133134.20758	1664.1775947	5.9058326246
18993.000000	18993.000000	80.000000000	129351.00000	128530.00000	130217.19150	1627.7148937	5.8163759628
18993.500000	18993.500000	80.000000000	128832.00000	127762.00000	129432.08011	1617.9010014	5.7984995127
18994.000000	18994.000000	80.000000000	128159.00000	127478.00000	129134.99408	1614.1874260	5.7849523905
18994.500000	18994.500000	80.000000000	128076.00000	126962.00000	128610.93933	1607.6367417	5.7786856192
18995.000000	18995.000000	80.000000000	127535.00000	126502.00000	128137.98278	1601.7247848	5.7637046948
18996.000000	18996.000000	80.000000000	127249.00000	125827.00000	127451.00995	1593.1376244	5.7467809317
18997.000000	18997.000000	80.000000000	127326.00000	125924.00000	127550.21551	1594.3776939	5.7467081246
18998.000000	18998.000000	80.000000000	127177.00000	125920.00000	127543.87527	1594.2984409	5.7446005435
18999.000000	18999.000000	80.000000000	125399.00000	124282.00000	125862.93268	1573.2866584	5.6880013051
19000.000000	19000.000000	80.000000000	125741.00000	124613.00000	126201.79651	1577.5224564	5.7012529670
19001.000000	19001.000000	80.000000000	123756.00000	122909.00000	124451.20549	1555.6400687	5.6380646497
19002.000000	19002.000000	80.000000000	124027.00000	123181.00000	124730.00289	1559.1250362	5.6477096644
19003.000000	19003.000000	80.000000000	122399.00000	121920.00000	123433.00927	1542.9126159	5.6000466293
19003.500000	19003.500000	80.000000000	121014.00000	119884.00000	121354.41660	1516.9302076	5.5438636279
19004.000000	19004.000000	80.000000000	101488.00000	100772.00000	101807.50246	1272.5937807	4.9188090394
19004.500000	19004.500000	80.000000000	70182.000000	69635.000000	70129.007831	876.61259788	3.8588613781
19005.000000	19005.000000	80.000000000	21114.000000	20751.000000	20795.774503	259.94718129	1.8953962473
19005.500000	19005.500000	80.000000000	2800.0000000	2469.0000000	2472.1140419	30.901425524	0.62576048448
19006.000000	19006.000000	80.000000000	1075.0000000	733.00000000	734.17731667	9.1772164583	0.33955129534
19007.000000	19007.000000	80.000000000	987.00000000	679.00000000	681.19205571	8.5149006963	0.32681909905
19010.000000	19010.000000	80.000000000	779.00000000	507.00000000	509.15860414	6.3644825517	0.28240896843
